 | 182  | Drapion            |  0.90114% | 8989   |  0.901% | 6270   |  1.004% | 
 | 183  | Marowak-Alola      |  0.88310% | 8809   |  0.883% | 5927   |  0.949% | 
 | 184  | Medicham-Mega      |  0.87909% | 8769   |  0.879% | 5753   |  0.922% | 
 | 185  | Arceus-Water       |  0.87708% | 8749   |  0.877% | 5779   |  0.926% | 
 | 186  | Solgaleo           |  0.87467% | 8725   |  0.875% | 5507   |  0.882% | 
 | 187  | Kingdra            |  0.87247% | 8703   |  0.872% | 5361   |  0.859% | 
 | 188  | Pyukumuku          |  0.86515% | 8630   |  0.865% | 5327   |  0.853% | 
 | 189  | Ninetales          |  0.86295% | 8608   |  0.863% | 5812   |  0.931% | 
 | 190  | Tapu Bulu          |  0.86274% | 8606   |  0.863% | 5132   |  0.822% | 
 | 191  | Tentacruel         |  0.86114% | 8590   |  0.861% | 6050   |  0.969% | 
 | 192  | Luxray             |  0.83808% | 8360   |  0.838% | 5456   |  0.874% | 
 | 193  | Porygon2           |  0.83798% | 8359   |  0.838% | 5197   |  0.833% | 
 | 194  | Torterra           |  0.83738% | 8353   |  0.837% | 5468   |  0.876% | 
 | 195  | Ludicolo           |  0.83327% | 8312   |  0.833% | 4620   |  0.740% | 
 | 196  | Cofagrigus         |  0.82174% | 8197   |  0.822% | 6241   |  1.000% | 
 | 197  | Vivillon           |  0.81924% | 8172   |  0.819% | 4931   |  0.790% | 
 | 198  | Darmanitan         |  0.80761% | 8056   |  0.808% | 4986   |  0.799% | 
 | 199  | Swellow            |  0.80310% | 8011   |  0.803% | 5217   |  0.836% | 
 | 200  | Aron               |  0.79849% | 7965   |  0.798% | 4269   |  0.684% | 
 | 201  | Giratina           |  0.79768% | 7957   |  0.798% | 5108   |  0.818% | 
 | 202  | Articuno           |  0.79768% | 7957   |  0.798% | 4566   |  0.731% | 
 | 203  | Minior             |  0.79167% | 7897   |  0.792% | 4170   |  0.668% | 
 | 204  | Trevenant          |  0.77402% | 7721   |  0.774% | 4701   |  0.753% | 
 | 205  | Aggron             |  0.77232% | 7704   |  0.772% | 5351   |  0.857% | 
 | 206  | Eelektross         |  0.77052% | 7686   |  0.771% | 5113   |  0.819% | 
 | 207  | Absol-Mega         |  0.76260% | 7607   |  0.763% | 5183   |  0.830% | 
 | 208  | Amoonguss          |  0.76159% | 7597   |  0.762% | 4712   |  0.755% | 
 | 209  | Blastoise          |  0.75869% | 7568   |  0.759% | 5075   |  0.813% | 
 | 210  | Buzzwole           |  0.75708% | 7552   |  0.757% | 4691   |  0.751% | 
 | 211  | Aerodactyl-Mega    |  0.74585% | 7440   |  0.746% | 4943   |  0.792% | 
 | 212  | Honchkrow          |  0.74465% | 7428   |  0.745% | 4809   |  0.770% | 
 | 213  | Tapu Fini          |  0.74214% | 7403   |  0.742% | 4959   |  0.794% | 
 | 214  | Ribombee           |  0.73753% | 7357   |  0.738% | 5196   |  0.832% | 
 | 215  | Stakataka          |  0.71989% | 7181   |  0.720% | 4751   |  0.761% | 
 | 216  | Reshiram           |  0.71688% | 7151   |  0.717% | 4457   |  0.714% | 
 | 217  | Quagsire           |  0.71618% | 7144   |  0.716% | 4699   |  0.753% | 
 | 218  | Conkeldurr         |  0.71267% | 7109   |  0.713% | 4759   |  0.762% | 
 | 219  | Tyrantrum          |  0.69733% | 6956   |  0.697% | 4499   |  0.721% | 
 | 220  | Arceus-Poison      |  0.69663% | 6949   |  0.697% | 4691   |  0.751% | 
 | 221  | Volcanion          |  0.69092% | 6892   |  0.691% | 4648   |  0.745% | 
 | 222  | Tangrowth          |  0.66916% | 6675   |  0.669% | 4065   |  0.651% | 
 | 223  | Slaking            |  0.65954% | 6579   |  0.660% | 4021   |  0.644% | 
 | 224  | Manectric-Mega     |  0.65854% | 6569   |  0.659% | 4358   |  0.698% | 
 | 225  | Reuniclus          |  0.65683% | 6552   |  0.657% | 4042   |  0.648% | 
 | 226  | Rhyperior          |  0.65613% | 6545   |  0.656% | 4689   |  0.751% | 
 | 227  | Manaphy            |  0.65573% | 6541   |  0.656% | 3797   |  0.608% | 
 | 228  | Pidgeot-Mega       |  0.64992% | 6483   |  0.650% | 4320   |  0.692% | 
 | 229  | Pinsir-Mega        |  0.64951% | 6479   |  0.650% | 3867   |  0.619% | 
 | 230  | Raichu             |  0.64280% | 6412   |  0.643% | 4397   |  0.704% | 
 | 231  | Magikarp           |  0.64059% | 6390   |  0.641% | 2547   |  0.408% | 
 | 232  | Scrafty            |  0.64009% | 6385   |  0.640% | 3807   |  0.610% | 
 | 233  | Mr. Mime           |  0.63759% | 6360   |  0.638% | 3378   |  0.541% | 
 | 234  | Donphan            |  0.63277% | 6312   |  0.633% | 4615   |  0.739% | 
 | 235  | Sawk               |  0.63107% | 6295   |  0.631% | 3473   |  0.556% | 
 | 236  | Slurpuff           |  0.62906% | 6275   |  0.629% | 4066   |  0.651% | 
 | 237  | Golisopod          |  0.62776% | 6262   |  0.628% | 4316   |  0.691% | 
 | 238  | Toxicroak          |  0.62566% | 6241   |  0.626% | 4150   |  0.665% | 
 | 239  | Hippowdon          |  0.61884% | 6173   |  0.619% | 4708   |  0.754% | 
 | 240  | Latios             |  0.61844% | 6169   |  0.618% | 3669   |  0.588% | 
 | 241  | Aerodactyl         |  0.61814% | 6166   |  0.618% | 4685   |  0.751% | 
 | 242  | Nosepass           |  0.61653% | 6150   |  0.617% | 3371   |  0.540% | 
 | 243  | Spiritomb          |  0.61613% | 6146   |  0.616% | 4149   |  0.665% | 
 | 244  | Keldeo             |  0.61573% | 6142   |  0.616% | 3931   |  0.630% | 
 | 245  | Delphox            |  0.61533% | 6138   |  0.615% | 4165   |  0.667% | 
 | 246  | Araquanid          |  0.61473% | 6132   |  0.615% | 4385   |  0.702% | 
 | 247  | Dusknoir           |  0.61132% | 6098   |  0.611% | 4225   |  0.677% | 
 | 248  | Politoed           |  0.60761% | 6061   |  0.608% | 4468   |  0.716% | 
 | 249  | Linoone            |  0.60591% | 6044   |  0.606% | 3620   |  0.580% | 
 | 250  | Mismagius          |  0.60330% | 6018   |  0.603% | 4098   |  0.656% | 
 | 251  | Suicune            |  0.59799% | 5965   |  0.598% | 3690   |  0.591% | 
 | 252  | Froslass           |  0.59759% | 5961   |  0.598% | 4239   |  0.679% | 
 | 253  | Ampharos-Mega      |  0.59698% | 5955   |  0.597% | 3760   |  0.602% | 
