 | 185  | Cofagrigus         |  0.11641% | 440    |  0.116% | 170    |  0.095% | 
 | 186  | Hitmonlee          |  0.11614% | 439    |  0.116% | 185    |  0.103% | 
 | 187  | Zygarde-10%        |  0.11085% | 419    |  0.111% | 237    |  0.132% | 
 | 188  | Jynx               |  0.10688% | 404    |  0.107% | 146    |  0.082% | 
 | 189  | Articuno           |  0.10556% | 399    |  0.106% | 150    |  0.084% | 
 | 190  | Dugtrio-Alola      |  0.10371% | 392    |  0.104% | 157    |  0.088% | 
 | 191  | Jolteon            |  0.10344% | 391    |  0.103% | 158    |  0.088% | 
 | 192  | Poliwrath          |  0.10318% | 390    |  0.103% | 191    |  0.107% | 
 | 193  | Rhydon             |  0.10133% | 383    |  0.101% | 109    |  0.061% | 
 | 194  | Decidueye          |  0.10133% | 383    |  0.101% | 131    |  0.073% | 
 | 195  | Tentacruel         |  0.10080% | 381    |  0.101% | 141    |  0.079% | 
 | 196  | Bruxish            |  0.10053% | 380    |  0.101% | 197    |  0.110% | 
 | 197  | Vivillon           |  0.09974% | 377    |  0.100% | 176    |  0.098% | 
 | 198  | Luxray             |  0.09709% | 367    |  0.097% | 168    |  0.094% | 
 | 199  | Drapion            |  0.09683% | 366    |  0.097% | 157    |  0.088% | 
 | 200  | Aromatisse         |  0.09603% | 363    |  0.096% | 118    |  0.066% | 
