 | 168  | Persian-Alola      |  0.36665% | 23394  |  0.562% | 19962  |  0.630% | 
 | 169  | Seismitoad         |  0.36494% | 17485  |  0.420% | 14594  |  0.460% | 
 | 170  | Vaporeon           |  0.35454% | 27759  |  0.667% | 20684  |  0.652% | 
 | 171  | Bronzong           |  0.35423% | 19590  |  0.471% | 16536  |  0.522% | 
 | 172  | Blastoise-Mega     |  0.35294% | 25601  |  0.615% | 19385  |  0.611% | 
 | 173  | Feraligatr         |  0.34660% | 28738  |  0.690% | 20412  |  0.644% | 
 | 174  | Golem-Alola        |  0.34487% | 14818  |  0.356% | 11288  |  0.356% | 
 | 175  | Raikou             |  0.33784% | 19894  |  0.478% | 14572  |  0.460% | 
 | 176  | Machamp            |  0.33308% | 27547  |  0.662% | 20840  |  0.657% | 
 | 177  | Lycanroc-Dusk      |  0.33251% | 24222  |  0.582% | 17972  |  0.567% | 
 | 178  | Avalugg            |  0.32534% | 14509  |  0.349% | 10521  |  0.332% | 
 | 179  | Entei              |  0.32327% | 17636  |  0.424% | 13404  |  0.423% | 
 | 180  | Steelix-Mega       |  0.32277% | 17232  |  0.414% | 13899  |  0.438% | 
 | 181  | Noivern            |  0.31897% | 24200  |  0.581% | 17545  |  0.553% | 
 | 182  | Absol-Mega         |  0.31122% | 21348  |  0.513% | 16295  |  0.514% | 
 | 183  | Banette-Mega       |  0.31032% | 18259  |  0.439% | 13272  |  0.419% | 
 | 184  | Florges            |  0.30872% | 19353  |  0.465% | 13842  |  0.437% | 
 | 185  | Roserade           |  0.30861% | 24870  |  0.598% | 18368  |  0.579% | 
 | 186  | Aerodactyl         |  0.30657% | 16766  |  0.403% | 14378  |  0.454% | 
 | 187  | Heracross          |  0.30570% | 19590  |  0.471% | 13533  |  0.427% | 
 | 188  | Raichu-Alola       |  0.30017% | 21003  |  0.505% | 14650  |  0.462% | 
 | 189  | Ninetales          |  0.29819% | 24212  |  0.582% | 19142  |  0.604% | 
 | 190  | Golisopod          |  0.28121% | 18727  |  0.450% | 14294  |  0.451% | 
 | 191  | Flygon             |  0.28066% | 25515  |  0.613% | 18772  |  0.592% | 
